,GS coll mean CCC,GS coll CCC std,GS Noncoll mean CCC,GS Noncoll CCC std,a1 coll mean CCC,a1 coll CCC std,a1 Noncoll mean CCC,a1 Noncoll CCC std,a2 coll mean CCC,a2 coll CCC std,a2 Noncoll mean CCC,a2 Noncoll CCC std,a3 coll mean CCC,a3 coll CCC std,a3 Noncoll mean CCC,a3 Noncoll CCC std,a4 coll mean CCC,a4 coll CCC std,a4 Noncoll mean CCC,a4 Noncoll CCC std,a5 coll mean CCC,a5 coll CCC std,a5 Noncoll mean CCC,a5 Noncoll CCC std,coll mean validation CCC,coll CCC validation std,Noncoll mean validation CCC,Noncoll CCC validation std,coll annotator std,noncoll annotator std,coll-noncoll-GS,Ann. as feature effect coll,Ann. as feature effect noncoll
ModernBERT_Lexicon_ExHuBERT,0.611,0.026,0.638,0.024,0.444,0.016,0.464,0.018,0.518,0.015,0.53,0.022,0.524,0.012,0.538,0.013,0.529,0.012,0.537,0.015,0.575,0.015,0.593,0.012,0.5,0.029,0.501,0.024,0.047,0.046,-0.027000000000000024,,
ModernBERT_ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.671,0.021,0.681,0.01,0.496,0.008,0.494,0.015,0.565,0.014,0.566,0.018,0.561,0.017,0.571,0.012,0.584,0.013,0.597,0.01,0.614,0.024,0.629,0.011,0.547,0.02,0.547,0.019,0.044,0.05,-0.010000000000000009,-0.0050000000000000044,0.0040000000000000036
Lexicon_ExHuBERT_eGeMAPS_Valence,0.681,0.02,0.688,0.019,0.469,0.013,0.475,0.009,0.558,0.007,0.56,0.011,0.569,0.012,0.573,0.008,0.605,0.019,0.61,0.014,0.63,0.012,0.634,0.014,0.548,0.023,0.548,0.022,0.062,0.061,-0.006999999999999895,0.02300000000000002,0.0
ModernBERT_Lingnorm,0.199,0.014,0.212,0.016,0.187,0.016,0.202,0.016,0.177,0.011,0.175,0.013,0.164,0.023,0.187,0.01,0.117,0.003,0.134,0.011,0.209,0.017,0.228,0.01,0.226,0.033,0.218,0.033,0.034,0.035,-0.012999999999999984,,
ExHuBERT_FinnSentiment_Valence,0.664,0.011,0.673,0.012,0.469,0.014,0.467,0.008,0.549,0.015,0.547,0.011,0.557,0.005,0.559,0.011,0.567,0.006,0.568,0.011,0.61,0.007,0.616,0.014,0.52,0.025,0.526,0.023,0.051,0.054,-0.009000000000000008,0.016000000000000014,0.020000000000000018
Lexicon_Lingnorm_eGeMAPS_Valence,0.514,0.016,0.532,0.018,0.374,0.008,0.379,0.014,0.432,0.012,0.44,0.019,0.414,0.013,0.421,0.014,0.498,0.016,0.503,0.011,0.471,0.012,0.479,0.012,0.481,0.027,0.481,0.029,0.049,0.049,-0.018000000000000016,-0.007000000000000006,0.009000000000000008
ModernBERT_FinnSentiment_Valence,0.22,0.018,0.238,0.033,0.223,0.015,0.244,0.032,0.197,0.014,0.193,0.029,0.181,0.016,0.2,0.032,0.114,0.015,0.139,0.023,0.21,0.016,0.223,0.031,0.241,0.034,0.224,0.03,0.043,0.039,-0.017999999999999988,0.036000000000000004,0.04899999999999999
ModernBERT_Lexicon_Lingnorm_FinnSentiment,0.168,0.024,0.196,0.036,0.169,0.022,0.19,0.023,0.147,0.017,0.162,0.02,0.147,0.018,0.163,0.022,0.101,0.016,0.123,0.025,0.182,0.021,0.213,0.03,0.22,0.039,0.222,0.032,0.031,0.034,-0.027999999999999997,,
Lexicon_FinnSentiment,0.115,0.018,0.096,0.009,0.113,0.017,0.111,0.013,0.101,0.02,0.085,0.007,0.104,0.015,0.086,0.006,0.052,0.012,0.031,0.005,0.124,0.015,0.114,0.008,0.134,0.037,0.147,0.037,0.028,0.033,0.019000000000000003,,
ModernBERT_FinnSentiment,0.184,0.011,0.189,0.022,0.189,0.016,0.183,0.023,0.165,0.012,0.156,0.022,0.16,0.009,0.166,0.03,0.092,0.015,0.121,0.019,0.185,0.015,0.204,0.026,0.221,0.027,0.211,0.034,0.039,0.031,-0.0050000000000000044,,
ModernBERT_Lexicon_ExHuBERT_eGeMAPS_FinnSentiment,0.671,0.011,0.68,0.019,0.489,0.016,0.486,0.012,0.558,0.019,0.56,0.014,0.57,0.019,0.57,0.01,0.591,0.014,0.6,0.004,0.619,0.013,0.624,0.009,0.55,0.019,0.545,0.016,0.049,0.052,-0.009000000000000008,,
ModernBERT_Lexicon_eGeMAPS_Valence,0.529,0.017,0.536,0.031,0.395,0.011,0.398,0.019,0.445,0.014,0.444,0.018,0.421,0.018,0.425,0.02,0.492,0.013,0.498,0.018,0.481,0.018,0.475,0.024,0.473,0.029,0.472,0.023,0.041,0.04,-0.007000000000000006,0.006000000000000005,0.02100000000000002
ModernBERT_ExHuBERT_eGeMAPS,0.679,0.013,0.673,0.019,0.493,0.01,0.499,0.007,0.57,0.014,0.569,0.011,0.573,0.009,0.571,0.015,0.594,0.009,0.601,0.009,0.626,0.012,0.626,0.014,0.548,0.022,0.552,0.018,0.049,0.047,0.006000000000000005,,
Lexicon_eGeMAPS_FinnSentiment,0.513,0.044,0.514,0.04,0.357,0.035,0.358,0.031,0.421,0.043,0.423,0.039,0.398,0.037,0.4,0.03,0.496,0.029,0.498,0.025,0.46,0.032,0.462,0.03,0.466,0.018,0.476,0.016,0.054,0.054,-0.0010000000000000009,,
ModernBERT_Lexicon,0.189,0.036,0.202,0.017,0.189,0.028,0.185,0.016,0.162,0.026,0.166,0.012,0.163,0.033,0.168,0.012,0.103,0.028,0.131,0.013,0.188,0.025,0.214,0.013,0.211,0.04,0.209,0.038,0.035,0.03,-0.013000000000000012,,
ExHuBERT_FinnSentiment,0.648,0.014,0.653,0.008,0.453,0.021,0.462,0.003,0.534,0.012,0.539,0.007,0.545,0.012,0.55,0.006,0.561,0.013,0.561,0.016,0.602,0.015,0.604,0.017,0.519,0.025,0.512,0.029,0.055,0.052,-0.0050000000000000044,,
Lexicon_ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.683,0.01,0.67,0.011,0.483,0.013,0.471,0.013,0.56,0.006,0.551,0.012,0.575,0.008,0.563,0.006,0.609,0.011,0.597,0.01,0.633,0.009,0.624,0.005,0.551,0.015,0.547,0.017,0.057,0.058,0.013000000000000012,0.015000000000000013,-0.007000000000000006
FinnSentiment_Valence,0.394,0.009,0.394,0.011,0.521,0.014,0.519,0.022,0.367,0.013,0.364,0.013,0.268,0.015,0.274,0.013,0.221,0.01,0.224,0.009,0.226,0.013,0.226,0.01,0.314,0.034,0.309,0.036,0.126,0.124,0.0,0.324,0.336
Lexicon_Lingnorm_FinnSentiment_Valence,0.26,0.015,0.279,0.021,0.273,0.009,0.293,0.031,0.231,0.01,0.236,0.02,0.201,0.01,0.225,0.014,0.164,0.011,0.156,0.006,0.222,0.016,0.239,0.007,0.279,0.032,0.283,0.03,0.04,0.049,-0.019000000000000017,0.11200000000000002,0.12300000000000003
Lexicon_eGeMAPS_Valence,0.538,0.012,0.536,0.016,0.382,0.008,0.381,0.015,0.449,0.01,0.442,0.013,0.421,0.008,0.42,0.016,0.514,0.006,0.502,0.014,0.479,0.014,0.474,0.013,0.47,0.02,0.473,0.02,0.051,0.047,0.0020000000000000018,0.02400000000000002,0.02200000000000002
ModernBERT_Lingnorm_Valence,0.214,0.022,0.203,0.014,0.208,0.022,0.199,0.009,0.188,0.014,0.167,0.011,0.173,0.016,0.171,0.014,0.126,0.018,0.125,0.01,0.206,0.022,0.205,0.019,0.242,0.028,0.23,0.02,0.034,0.032,0.010999999999999982,0.014999999999999986,-0.00899999999999998
ModernBERT_Lexicon_FinnSentiment,0.174,0.016,0.198,0.024,0.179,0.012,0.188,0.019,0.152,0.012,0.156,0.024,0.145,0.005,0.158,0.021,0.092,0.012,0.118,0.019,0.173,0.016,0.205,0.027,0.21,0.046,0.213,0.03,0.035,0.033,-0.02400000000000002,,
Lexicon_Lingnorm_ExHuBERT_eGeMAPS_Valence,0.669,0.016,0.683,0.013,0.467,0.019,0.484,0.022,0.553,0.014,0.568,0.018,0.566,0.016,0.57,0.014,0.602,0.016,0.6,0.016,0.627,0.011,0.63,0.013,0.551,0.018,0.555,0.021,0.061,0.054,-0.014000000000000012,-0.01100000000000001,0.01200000000000001
eGeMAPS,0.536,0.015,0.536,0.015,0.368,0.014,0.368,0.014,0.439,0.014,0.439,0.014,0.417,0.011,0.417,0.011,0.521,0.014,0.521,0.014,0.473,0.007,0.473,0.007,0.468,0.017,0.468,0.017,0.058,0.058,0.0,,
Lingnorm_ExHuBERT_FinnSentiment,0.663,0.01,0.642,0.015,0.465,0.004,0.449,0.016,0.547,0.004,0.529,0.011,0.552,0.004,0.545,0.009,0.568,0.006,0.548,0.011,0.615,0.007,0.604,0.014,0.517,0.016,0.518,0.021,0.054,0.056,0.02100000000000002,,
Lingnorm,0.14,0.008,0.156,0.018,0.115,0.011,0.123,0.011,0.12,0.006,0.122,0.014,0.122,0.01,0.146,0.012,0.108,0.004,0.098,0.013,0.172,0.011,0.184,0.012,0.205,0.025,0.221,0.027,0.025,0.032,-0.015999999999999986,,
ModernBERT_ExHuBERT_eGeMAPS_FinnSentiment,0.676,0.023,0.677,0.017,0.492,0.024,0.495,0.019,0.564,0.025,0.563,0.018,0.568,0.007,0.574,0.01,0.586,0.007,0.598,0.006,0.613,0.011,0.622,0.012,0.547,0.015,0.552,0.014,0.045,0.048,-0.0010000000000000009,,
ModernBERT_Valence,0.205,0.008,0.214,0.033,0.206,0.012,0.214,0.03,0.184,0.014,0.178,0.023,0.173,0.015,0.184,0.028,0.101,0.015,0.125,0.01,0.199,0.014,0.209,0.024,0.234,0.033,0.225,0.031,0.042,0.035,-0.009000000000000008,0.010999999999999982,0.009000000000000008
Lexicon_Lingnorm,0.143,0.012,0.147,0.011,0.117,0.01,0.123,0.005,0.115,0.01,0.117,0.009,0.125,0.013,0.141,0.012,0.102,0.005,0.084,0.01,0.174,0.011,0.184,0.013,0.193,0.025,0.204,0.033,0.028,0.037,-0.0040000000000000036,,
Lexicon_ExHuBERT_eGeMAPS_FinnSentiment,0.668,0.019,0.677,0.015,0.464,0.012,0.472,0.015,0.552,0.007,0.557,0.005,0.563,0.008,0.568,0.01,0.6,0.017,0.6,0.013,0.624,0.011,0.628,0.007,0.545,0.014,0.547,0.021,0.061,0.059,-0.009000000000000008,,
Lingnorm_ExHuBERT_eGeMAPS_FinnSentiment_Valence,0.667,0.017,0.675,0.02,0.471,0.012,0.483,0.023,0.553,0.007,0.559,0.023,0.562,0.011,0.567,0.009,0.594,0.012,0.6,0.013,0.616,0.009,0.625,0.012,0.551,0.024,0.551,0.021,0.056,0.054,-0.008000000000000007,0.0030000000000000027,0.0
Lexicon_Lingnorm_ExHuBERT_eGeMAPS,0.68,0.027,0.671,0.011,0.47,0.034,0.469,0.019,0.553,0.022,0.551,0.009,0.562,0.021,0.561,0.014,0.601,0.019,0.594,0.017,0.624,0.012,0.623,0.013,0.545,0.019,0.552,0.02,0.059,0.058,0.009000000000000008,,
ModernBERT_Lingnorm_ExHuBERT_eGeMAPS,0.663,0.012,0.66,0.029,0.484,0.006,0.478,0.012,0.553,0.006,0.552,0.016,0.57,0.009,0.555,0.008,0.588,0.008,0.582,0.015,0.62,0.009,0.606,0.018,0.547,0.019,0.539,0.016,0.051,0.048,0.0030000000000000027,,
